2146249.005597,   -5652064.603772,    3262618.721329
2149525.684549,   -5654442.364563,    3256335.494266
2152799.403239,   -5656813.676822,    3250048.253600
2156070.142004,   -5659178.543466,    3243757.007053
2159337.897764,   -5661536.961125,    3237461.762356
2162602.667445,   -5663888.926434,    3231162.527245
2165864.447976,   -5666234.436038,    3224859.309460
2169123.236293,   -5668573.486588,    3218552.116745
2172379.029331,   -5670906.074741,    3212240.956852
2175631.807391,   -5673232.203548,    3205925.837535
2178881.600698,   -5675551.856926,    3199606.766555
2182128.389567,   -5677865.037929,    3193283.751677
2185372.170952,   -5680171.743246,    3186956.800671
2188612.941811,   -5682471.969573,    3180625.921312
2191850.699106,   -5684765.713613,    3174291.121381
2195085.439806,   -5687052.972077,    3167952.408663
2198317.144189,   -5689333.748135,    3161609.790947
2201545.842607,   -5691608.025621,    3155263.276030
2204771.515355,   -5693875.807710,    3148912.871710
2207994.159415,   -5696137.091143,    3142558.585792
2211213.771776,   -5698391.872669,    3136200.426087
2214430.349428,   -5700640.149044,    3129838.400408
2217643.889369,   -5702881.917031,    3123472.516576
2220854.371861,   -5705117.179918,    3117102.782415
2224061.827376,   -5707345.921462,    3110729.205753
2227266.236191,   -5709568.144954,    3104351.794426
2230467.595321,   -5711783.847189,    3097970.556272
2233665.901780,   -5713993.024969,    3091585.499135
2236861.152591,   -5716195.675103,    3085196.630863
2240053.344777,   -5718391.794406,    3078803.959311
2243242.475369,   -5720581.379705,    3072407.492335
2246428.524611,   -5722764.434420,    3066007.237799
2249611.523112,   -5724940.942219,    3059603.203572
2252791.451131,   -5727110.906531,    3053195.397525
2255968.305715,   -5729274.324209,    3046783.827536
2259142.083914,   -5731431.192118,    3040368.501488
2262312.782781,   -5733581.507125,    3033949.427266
2265480.399376,   -5735725.266109,    3027526.612763
2268644.913928,   -5737862.472610,    3021100.065874
2271806.357165,   -5739993.110218,    3014669.794502
2274964.709331,   -5742117.182481,    3008235.806552
2278119.967501,   -5744234.686306,    3001798.109934
2281272.128755,   -5746345.618608,    2995356.712564
2284421.190176,   -5748449.976312,    2988911.622360
2287567.148853,   -5750547.756347,    2982462.847249
2290710.001878,   -5752638.955652,    2976010.395159
2293849.729465,   -5754723.577903,    2969554.274023
2296986.362474,   -5756801.606603,    2963094.491781
2300119.881133,   -5758873.045434,    2956631.056375
2303250.282552,   -5760937.891366,    2950163.975753
2306377.563844,   -5762996.141375,    2943693.257868
2309501.722126,   -5765047.792445,    2937218.910676
2312622.754521,   -5767092.841569,    2930740.942140
2315740.641229,   -5769131.292541,    2924259.360224
2318855.413226,   -5771163.128788,    2917774.172900
2321967.050727,   -5773188.354112,    2911285.388143
2325075.550870,   -5775206.965534,    2904793.013933
2328180.910800,   -5777218.960086,    2898297.058254
2331283.127662,   -5779224.334806,    2891797.529095
2334382.198609,   -5781223.086739,    2885294.434450
2337478.120798,   -5783215.212940,    2878787.782316
2340570.874414,   -5785200.717337,    2872277.580696
2343660.490563,   -5787179.583274,    2865763.837597
2346746.949446,   -5789151.814686,    2859246.561030
2349830.248237,   -5791117.408658,    2852725.759011
2352910.384112,   -5793076.362282,    2846201.439560
2355987.354252,   -5795028.672658,    2839673.610703
2359061.155845,   -5796974.336894,    2833142.280468
2362131.769066,   -5798913.359036,    2826607.456889
2365199.225131,   -5800845.722356,    2820069.148004
2368263.504231,   -5802771.430907,    2813527.361856
2371324.603569,   -5804690.481826,    2806982.106492
2374382.520352,   -5806602.872261,    2800433.389963
2377437.251792,   -5808508.599367,    2793881.220324
2380488.795104,   -5810407.660305,    2787325.605636
2383537.130457,   -5812300.059238,    2780766.553963
2386582.289173,   -5814185.779369,    2774204.073375
2389624.251435,   -5816064.824865,    2767638.171943
2392663.014476,   -5817937.192920,    2761068.857746
2395698.575533,   -5819802.880737,    2754496.138865
2398730.931848,   -5821661.885523,    2747920.023387
2401760.080667,   -5823514.204496,    2741340.519402
2404786.019240,   -5825359.834880,    2734757.635004
2407808.727725,   -5827198.780972,    2728171.378293
2410828.237569,   -5829031.025893,    2721581.757372
2413844.528943,   -5830856.573946,    2714988.780349
2416857.599116,   -5832675.422387,    2708392.455335
2419867.445359,   -5834487.568480,    2701792.790446
2422874.064948,   -5836293.009497,    2695189.793802
2425877.455165,   -5838091.742717,    2688583.473529
2428877.596161,   -5839883.772553,    2681973.837754
2431874.519485,   -5841669.082059,    2675360.894611
2434868.205304,   -5843447.675653,    2668744.652237
2437858.650916,   -5845219.550646,    2662125.118773
2440845.853623,   -5846984.704359,    2655502.302364
2443829.810731,   -5848743.134116,    2648876.211161
2446810.519551,   -5850494.837254,    2642246.853317
2449787.977400,   -5852239.811114,    2635614.236989
2452762.164421,   -5853978.060242,    2628978.370341
2455733.112283,   -5855709.567614,    2622339.261538
2458700.801145,   -5857434.337783,    2615696.918750
2461665.228339,   -5859152.368122,    2609051.350152
2464626.391203,   -5860863.656015,    2602402.563922
2467584.287078,   -5862568.198850,    2595750.568243
2470538.913309,   -5864265.994026,    2589095.371302
2473490.250039,   -5865957.046205,    2582436.981289
2476438.329034,   -5867641.338295,    2575775.406400
2479383.130450,   -5869318.874966,    2569110.654832
2482324.651650,   -5870989.653648,    2562442.734789
2485262.890001,   -5872653.671777,    2555771.654477
2488197.842876,   -5874310.926800,    2549097.422108
2491129.507651,   -5875961.416169,    2542420.045896
2494057.864463,   -5877605.144663,    2535739.534060
2496982.945180,   -5879242.095125,    2529055.894823
2499904.729953,   -5880872.272341,    2522369.136413
2502823.216176,   -5882495.673795,    2515679.267058
2505738.401248,   -5884112.296982,    2508986.294995
2508650.282570,   -5885722.139401,    2502290.228463
2511558.857550,   -5887325.198562,    2495591.075702
2514464.123600,   -5888921.471981,    2488888.844961
2517366.060854,   -5890510.964569,    2482183.544490
2520264.701292,   -5892093.659096,    2475475.182542
2523160.025061,   -5893669.560481,    2468763.767376
2526052.029590,   -5895238.666271,    2462049.307255
2528940.712313,   -5896800.974025,    2455331.810444
2531826.070668,   -5898356.481306,    2448611.285212
2534708.102098,   -5899905.185687,    2441887.739835
2537586.786735,   -5901447.092194,    2435161.182588
2540462.156655,   -5902982.183535,    2428431.621754
2543334.192003,   -5904510.464742,    2421699.065617
2546202.890239,   -5906031.933422,    2414963.522467
2549068.248829,   -5907546.587186,    2408225.000596
2551930.265241,   -5909054.423655,    2401483.508301
2554788.936950,   -5910555.440459,    2394739.053882
2557644.261431,   -5912049.635234,    2387991.645644
2560496.218820,   -5913537.013138,    2381241.291893
2563344.841296,   -5915017.556807,    2374488.000942
2566190.109006,   -5916491.271407,    2367731.781106
2569032.019447,   -5917958.154607,    2360972.640703
2571870.570116,   -5919418.204083,    2354210.588058
2574705.758521,   -5920871.417522,    2347445.631495
2577537.582168,   -5922317.792615,    2340677.779346
2580366.021193,   -5923757.334636,    2333907.039943
2583191.107868,   -5925190.026161,    2327133.421625
2586012.822340,   -5926615.872469,    2320356.932733
2588831.162136,   -5928034.871286,    2313577.581612
2591646.124787,   -5929447.020347,    2306795.376609
2594457.707829,   -5930852.317391,    2300010.326077
2597265.908802,   -5932250.760170,    2293222.438372
2600070.725251,   -5933642.346441,    2286431.721853
2602872.137313,   -5935027.081607,    2279638.184882
2605670.177361,   -5936404.948177,    2272841.835827
2608464.825546,   -5937775.951562,    2266042.683058
2611256.079431,   -5939140.089551,    2259240.734947
2614043.936581,   -5940497.359943,    2252435.999873
2616828.394569,   -5941847.760545,    2245628.486216
2619609.450971,   -5943191.289171,    2238818.202359
2622387.085927,   -5944527.951338,    2232005.156692
2625161.331899,   -5945857.729497,    2225189.357605
2627932.169039,   -5947180.629173,    2218370.813493
2630699.594941,   -5948496.648213,    2211549.532755
2633463.607205,   -5949805.784473,    2204725.523791
2636224.203433,   -5951108.035815,    2197898.795008
2638981.381231,   -5952403.400111,    2191069.354815
2641735.120746,   -5953691.882991,    2184237.211622
2644485.454524,   -5954973.466850,    2177402.373847
2647232.362723,   -5956248.157328,    2170564.849907
2649975.842967,   -5957515.952326,    2163724.648226
2652715.892887,   -5958776.849759,    2156881.777229
2655452.510118,   -5960030.847546,    2150036.245346
2658185.692298,   -5961277.943617,    2143188.061009
2660915.437070,   -5962518.135907,    2136337.232655
2663641.724586,   -5963751.430176,    2129483.768722
2666364.587488,   -5964977.808757,    2122627.677653
2669084.005940,   -5966197.277417,    2115768.967895
2671799.977604,   -5967409.834125,    2108907.647898
2674512.500145,   -5968615.476860,    2102043.726112
2677221.571235,   -5969814.203607,    2095177.210996
2679927.188547,   -5971006.012360,    2088308.111008
2682629.332241,   -5972190.908991,    2081436.434611
2685328.035039,   -5973368.875780,    2074562.190271
2688023.277113,   -5974539.918605,    2067685.386456
2690715.056155,   -5975704.035495,    2060806.031641
2693403.369864,   -5976861.224485,    2053924.134300
2696088.215941,   -5978011.483617,    2047039.702912
2698769.592093,   -5979154.810944,    2040152.745959
2701447.496032,   -5980291.204524,    2033263.271928
2704121.907925,   -5981420.670359,    2026371.289306
2706792.860586,   -5982543.190667,    2019476.806586
2709460.334195,   -5983658.771457,    2012579.832262
2712124.326481,   -5984767.410823,    2005680.374833
2714784.835178,   -5985869.106864,    1998778.442800
2717441.858025,   -5986963.857689,    1991874.044668
2720095.392765,   -5988051.661418,    1984967.188943
2722745.419575,   -5989132.524162,    1978057.884138
2725391.971345,   -5990206.428087,    1971146.138766
2728035.028265,   -5991273.379316,    1964231.961344
2730674.588096,   -5992333.375999,    1957315.360392
2733310.648604,   -5993386.416295,    1950396.344433
2735943.207559,   -5994432.498370,    1943474.921994
